seqnames	start	end	width	strand	Conc	Conc_haplotype1	Conc_haplotype2	Fold	pvalue	FDR	new_fdr
chr6	148764085	148765561	1477	*	5.42	4.83	5.84	-1.01	0.257	0.9990000000000001	1.0
chr6	149925626	149926361	736	*	4.96	4.31	5.4	-1.09	0.257	0.9990000000000001	1.0
chr6	125756232	125758963	2732	*	3.31	2.73	3.72	-0.99	0.258	0.9990000000000001	1.0
chr6	110425234	110427433	2200	*	3.14	2.62	3.52	-0.9	0.258	0.9990000000000001	1.0
chr6	109239888	109240861	974	*	4.24	4.68	3.62	1.06	0.259	0.9990000000000001	1.0
chr6	99973923	99975195	1273	*	2.45	2.78	2.02	0.76	0.26	0.9990000000000001	1.0
chr6	162896203	162897849	1647	*	1.73	1.26	2.08	-0.82	0.26	0.9990000000000001	1.0
chr6	105244634	105249001	4368	*	4.44	3.97	4.79	-0.82	0.26	0.9990000000000001	1.0
chr6	1689242	1689895	654	*	3.18	3.55	2.68	0.87	0.264	0.9990000000000001	1.0
chr6	135244457	135245119	663	*	1.97	1.42	2.36	-0.94	0.266	0.9990000000000001	1.0
chr6	47107190	47108100	911	*	3.59	3.01	3.99	-0.98	0.266	0.9990000000000001	1.0
chr6	47788030	47788267	238	*	2.96	3.35	2.43	0.92	0.271	0.9990000000000001	1.0
chr6	28420854	28421522	669	*	1.72	1.28	2.05	-0.78	0.272	0.9990000000000001	1.0
chr6	150721068	150721570	503	*	3.38	2.82	3.77	-0.95	0.273	0.9990000000000001	1.0
chr6	136783377	136784352	976	*	3.89	3.25	4.33	-1.08	0.275	0.9990000000000001	1.0
chr6	131981462	131981845	384	*	2.49	1.97	2.87	-0.9	0.27699999999999997	0.9990000000000001	1.0
chr6	701409	703281	1873	*	3.86	4.2	3.42	0.77	0.281	0.9990000000000001	1.0
chr6	152850828	152853938	3111	*	3.14	2.66	3.5	-0.83	0.281	0.9990000000000001	1.0
chr6	27548780	27549498	719	*	2.67	2.1	3.08	-0.98	0.281	0.9990000000000001	1.0
chr6	125956269	125957608	1340	*	6.52	5.86	6.96	-1.1	0.282	0.9990000000000001	1.0
chr6	128829972	128831526	1555	*	2.92	2.49	3.25	-0.76	0.282	0.9990000000000001	1.0
chr6	37170365	37172106	1742	*	7.27	7.75	6.53	1.23	0.282	0.9990000000000001	1.0
chr6	163417440	163418115	676	*	4.26	3.67	4.68	-1.01	0.284	0.9990000000000001	1.0
chr6	158660006	158660597	592	*	4.5	3.94	4.9	-0.95	0.284	0.9990000000000001	1.0
chr6	43022117	43022546	430	*	2.49	1.95	2.88	-0.93	0.284	0.9990000000000001	1.0
chr6	37141710	37142411	702	*	3.22	3.63	2.64	0.99	0.285	0.9990000000000001	1.0
chr6	52782524	52783017	494	*	3.68	3.14	4.08	-0.94	0.289	0.9990000000000001	1.0
chr6	148221406	148222211	806	*	4.24	3.72	4.61	-0.89	0.29100000000000004	0.9990000000000001	1.0
chr6	105236760	105237220	461	*	1.02	1.35	0.59	0.77	0.294	0.9990000000000001	1.0
chr6	41352312	41352702	391	*	1.72	1.31	2.03	-0.71	0.297	0.9990000000000001	1.0
chr6	23853332	23853834	503	*	1.66	1.25	1.97	-0.72	0.299	0.9990000000000001	1.0
chr6	1027451	1027857	407	*	2.48	2.85	1.96	0.89	0.302	0.9990000000000001	1.0
chr6	26402146	26403024	879	*	4.24	3.67	4.66	-0.99	0.304	0.9990000000000001	1.0
chr6	41318554	41320273	1720	*	4.64	4.3	4.91	-0.61	0.305	0.9990000000000001	1.0
chr6	151668068	151669880	1813	*	5.66	5.08	6.08	-1.0	0.305	0.9990000000000001	1.0
chr6	10419623	10421648	2026	*	4.49	4.05	4.83	-0.79	0.306	0.9990000000000001	1.0
chr6	14033797	14034834	1038	*	1.99	1.54	2.33	-0.79	0.308	0.9990000000000001	1.0
chr6	132812577	132813342	766	*	4.42	3.81	4.85	-1.04	0.308	0.9990000000000001	1.0
chr6	157253221	157254554	1334	*	4.05	4.43	3.52	0.91	0.31	0.9990000000000001	1.0
chr6	131805057	131807995	2939	*	4.04	3.65	4.35	-0.7	0.31	0.9990000000000001	1.0
chr6	149982733	149992985	10253	*	6.84	6.43	7.16	-0.73	0.312	0.9990000000000001	1.0
chr6	137873623	137874043	421	*	3.72	3.18	4.11	-0.94	0.314	0.9990000000000001	1.0
chr6	17142960	17145165	2206	*	2.57	2.91	2.12	0.79	0.315	0.9990000000000001	1.0
chr6	158854698	158855196	499	*	3.17	2.65	3.56	-0.91	0.315	0.9990000000000001	1.0
chr6	70317531	70320003	2473	*	3.16	3.51	2.71	0.8	0.316	0.9990000000000001	1.0
chr6	1593231	1595108	1878	*	3.54	3.19	3.81	-0.62	0.319	0.9990000000000001	1.0
chr6	166098101	166098489	389	*	2.66	2.24	2.98	-0.74	0.319	0.9990000000000001	1.0
chr6	73176522	73179544	3023	*	3.65	3.98	3.22	0.76	0.319	0.9990000000000001	1.0
chr6	169339978	169340359	382	*	3.6	3.96	3.13	0.83	0.32	0.9990000000000001	1.0
chr6	36851058	36851367	310	*	2.07	1.63	2.4	-0.77	0.321	0.9990000000000001	1.0
chr6	18156543	18156861	319	*	2.45	2.79	1.99	0.79	0.322	0.9990000000000001	1.0
chr6	163872318	163873554	1237	*	1.54	1.21	1.81	-0.61	0.32299999999999995	0.9990000000000001	1.0
chr6	125750086	125751866	1781	*	3.08	2.64	3.42	-0.78	0.324	0.9990000000000001	1.0
chr6	27187616	27188465	850	*	6.0	6.41	5.42	1.0	0.327	0.9990000000000001	1.0
chr6	70335137	70336087	951	*	2.6	2.2	2.91	-0.7	0.32799999999999996	0.9990000000000001	1.0
chr6	47038560	47042481	3922	*	7.33	6.72	7.75	-1.04	0.33	0.9990000000000001	1.0
chr6	12727093	12728613	1521	*	1.82	2.14	1.42	0.72	0.33	0.9990000000000001	1.0
chr6	118284566	118284956	391	*	2.08	1.66	2.41	-0.75	0.332	0.9990000000000001	1.0
chr6	79935635	79937190	1556	*	2.83	3.12	2.45	0.67	0.33299999999999996	0.9990000000000001	1.0
chr6	6513204	6517696	4493	*	4.66	5.02	4.19	0.83	0.33399999999999996	0.9990000000000001	1.0
chr6	150201980	150202761	782	*	4.46	3.93	4.85	-0.92	0.33399999999999996	0.9990000000000001	1.0
chr6	53650610	53651167	558	*	3.51	3.86	3.04	0.82	0.33399999999999996	0.9990000000000001	1.0
chr6	106923945	106924418	474	*	3.24	2.78	3.58	-0.8	0.33799999999999997	0.9990000000000001	1.0
chr6	19811431	19812096	666	*	3.51	3.07	3.85	-0.79	0.34	0.9990000000000001	1.0
chr6	7833021	7834684	1664	*	2.24	1.84	2.56	-0.72	0.34	0.9990000000000001	1.0
chr6	151878784	151882346	3563	*	3.48	3.82	3.04	0.79	0.341	0.9990000000000001	1.0
chr6	13025549	13026794	1246	*	2.53	2.86	2.1	0.76	0.341	0.9990000000000001	1.0
chr6	431325	434416	3092	*	3.9	4.18	3.56	0.62	0.34299999999999997	0.9990000000000001	1.0
chr6	109196073	109196670	598	*	3.72	3.22	4.09	-0.87	0.344	0.9990000000000001	1.0
chr6	56866043	56867709	1667	*	4.42	3.97	4.76	-0.79	0.345	0.9990000000000001	1.0
chr6	166671368	166673404	2037	*	3.15	2.75	3.47	-0.71	0.345	0.9990000000000001	1.0
chr6	134174019	134174648	630	*	4.87	5.27	4.3	0.97	0.34600000000000003	0.9990000000000001	1.0
chr6	6641257	6642572	1316	*	2.58	2.88	2.2	0.68	0.34600000000000003	0.9990000000000001	1.0
chr6	39731517	39732911	1395	*	2.99	3.33	2.54	0.79	0.34600000000000003	0.9990000000000001	1.0
chr6	157341780	157343089	1310	*	1.83	1.47	2.11	-0.63	0.34700000000000003	0.9990000000000001	1.0
chr6	24948771	24950563	1793	*	2.86	3.15	2.48	0.67	0.35	0.9990000000000001	1.0
chr6	167411814	167414369	2556	*	3.81	4.13	3.39	0.74	0.35	0.9990000000000001	1.0
chr6	35972812	35973431	620	*	2.76	3.1	2.32	0.78	0.35	0.9990000000000001	1.0
chr6	20528442	20529666	1225	*	5.5	5.89	4.98	0.91	0.35100000000000003	0.9990000000000001	1.0
chr6	11010462	11014112	3651	*	3.39	3.72	2.96	0.76	0.35200000000000004	0.9990000000000001	1.0
chr6	1679126	1679553	428	*	2.59	2.12	2.95	-0.83	0.35200000000000004	0.9990000000000001	1.0
chr6	2988447	2991444	2998	*	8.06	8.46	7.49	0.97	0.354	0.9990000000000001	1.0
chr6	10982088	10982855	768	*	2.23	1.83	2.54	-0.71	0.354	0.9990000000000001	1.0
chr6	159047966	159049389	1424	*	3.04	2.66	3.34	-0.68	0.355	0.9990000000000001	1.0
chr6	153976255	153978114	1860	*	6.03	5.55	6.39	-0.84	0.358	0.9990000000000001	1.0
chr6	167363212	167365572	2361	*	3.06	3.37	2.66	0.71	0.359	0.9990000000000001	1.0
chr6	169212601	169214006	1406	*	5.56	5.92	5.08	0.84	0.359	0.9990000000000001	1.0
chr6	156575992	156578579	2588	*	3.81	3.36	4.15	-0.79	0.359	0.9990000000000001	1.0
chr6	170096746	170097305	560	*	2.24	1.86	2.54	-0.68	0.359	0.9990000000000001	1.0
chr6	156720404	156721213	810	*	4.42	3.9	4.8	-0.91	0.36	0.9990000000000001	1.0
chr6	6297479	6300127	2649	*	2.7	2.28	3.03	-0.75	0.36	0.9990000000000001	1.0
chr6	136001449	136003261	1813	*	2.75	2.39	3.04	-0.65	0.36200000000000004	0.9990000000000001	1.0
chr6	14104896	14106146	1251	*	2.17	2.46	1.82	0.64	0.365	0.9990000000000001	1.0
chr6	166665391	166666969	1579	*	3.15	3.47	2.74	0.74	0.365	0.9990000000000001	1.0
chr6	148343590	148344466	877	*	5.2	4.68	5.58	-0.9	0.366	0.9990000000000001	1.0
chr6	40411461	40413049	1589	*	3.09	2.71	3.39	-0.68	0.36700000000000005	0.9990000000000001	1.0
chr6	116503936	116505451	1516	*	2.98	3.31	2.56	0.75	0.36700000000000005	0.9990000000000001	1.0
chr6	157981338	157982011	674	*	4.83	4.41	5.15	-0.74	0.369	0.9990000000000001	1.0
chr6	4201014	4203426	2413	*	2.93	3.24	2.52	0.72	0.37	0.9990000000000001	1.0
chr6	153024379	153024551	173	*	2.71	3.04	2.29	0.75	0.37	0.9990000000000001	1.0
chr6	44270047	44270638	592	*	2.74	2.33	3.07	-0.74	0.373	0.9990000000000001	1.0
chr6	36941143	36941716	574	*	2.23	2.5	1.89	0.61	0.376	0.9990000000000001	1.0
chr6	152947100	152949549	2450	*	3.79	3.41	4.09	-0.68	0.376	0.9990000000000001	1.0
chr6	21665049	21666229	1181	*	2.61	2.9	2.25	0.65	0.37799999999999995	0.9990000000000001	1.0
chr6	157985152	157986544	1393	*	5.24	4.82	5.58	-0.76	0.381	0.9990000000000001	1.0
chr6	75334176	75335463	1288	*	2.26	1.86	2.58	-0.71	0.382	0.9990000000000001	1.0
chr6	149150358	149152345	1988	*	3.2	2.84	3.49	-0.64	0.392	0.9990000000000001	1.0
chr6	5262142	5262646	505	*	3.65	4.0	3.19	0.81	0.39299999999999996	0.9990000000000001	1.0
chr6	167172695	167181618	8924	*	5.63	5.92	5.27	0.65	0.39299999999999996	0.9990000000000001	1.0
chr6	167373517	167381600	8084	*	5.44	5.73	5.06	0.67	0.39299999999999996	0.9990000000000001	1.0
chr6	165821060	165822754	1695	*	3.73	3.34	4.04	-0.71	0.39299999999999996	0.9990000000000001	1.0
chr6	75311342	75312130	789	*	1.71	2.02	1.33	0.69	0.39299999999999996	0.9990000000000001	1.0
chr6	158798630	158800103	1474	*	5.43	5.04	5.74	-0.7	0.39399999999999996	0.9990000000000001	1.0
chr6	39337421	39340484	3064	*	3.93	4.24	3.53	0.71	0.39399999999999996	0.9990000000000001	1.0
chr6	4473937	4476705	2769	*	4.18	3.82	4.48	-0.66	0.39399999999999996	0.9990000000000001	1.0
chr6	71262745	71263843	1099	*	2.28	1.95	2.55	-0.6	0.395	0.9990000000000001	1.0
chr6	161494415	161497232	2818	*	3.73	4.04	3.35	0.69	0.396	0.9990000000000001	1.0
chr6	3925897	3926259	363	*	4.27	4.6	3.85	0.74	0.397	0.9990000000000001	1.0
chr6	2623570	2624394	825	*	4.04	3.71	4.31	-0.61	0.397	0.9990000000000001	1.0
chr6	40587265	40588398	1134	*	4.23	3.81	4.56	-0.74	0.39899999999999997	0.9990000000000001	1.0
chr6	45452874	45453932	1059	*	3.05	2.65	3.37	-0.72	0.39899999999999997	0.9990000000000001	1.0
chr6	4606769	4607302	534	*	3.48	3.1	3.78	-0.68	0.39899999999999997	0.9990000000000001	1.0
chr6	163678711	163679452	742	*	2.08	1.73	2.37	-0.64	0.401	0.9990000000000001	1.0
chr6	16237543	16239850	2308	*	5.38	5.67	5.01	0.66	0.401	0.9990000000000001	1.0
chr6	28169211	28170278	1068	*	2.13	1.8	2.4	-0.6	0.401	0.9990000000000001	1.0
chr6	47873308	47874843	1536	*	2.59	2.86	2.25	0.61	0.402	0.9990000000000001	1.0
chr6	132614247	132615638	1392	*	5.33	4.83	5.7	-0.87	0.402	0.9990000000000001	1.0
chr6	37546361	37546780	420	*	1.73	1.99	1.41	0.58	0.406	0.9990000000000001	1.0
chr6	99843673	99844795	1123	*	2.14	1.78	2.42	-0.65	0.406	0.9990000000000001	1.0
chr6	170191232	170192083	852	*	1.12	1.38	0.8	0.58	0.40700000000000003	0.9990000000000001	1.0
chr6	47785571	47788024	2454	*	4.2	4.46	3.9	0.56	0.40700000000000003	0.9990000000000001	1.0
chr6	165874160	165876232	2073	*	3.01	2.65	3.29	-0.65	0.408	0.9990000000000001	1.0
chr6	138230130	138231008	879	*	3.46	3.01	3.8	-0.79	0.41	0.9990000000000001	1.0
chr6	7782404	7784077	1674	*	2.53	2.83	2.15	0.68	0.41200000000000003	0.9990000000000001	1.0
chr6	159788520	159792192	3673	*	7.64	7.15	8.01	-0.86	0.413	0.9990000000000001	1.0
chr6	2644158	2645145	988	*	2.77	3.06	2.41	0.65	0.414	0.9990000000000001	1.0
chr6	132402815	132405637	2823	*	4.33	3.96	4.62	-0.66	0.414	0.9990000000000001	1.0
chr6	89411426	89413244	1819	*	4.14	4.45	3.75	0.7	0.415	0.9990000000000001	1.0
chr6	143744906	143745800	895	*	4.74	4.33	5.06	-0.73	0.41600000000000004	0.9990000000000001	1.0
chr6	86354688	86356449	1762	*	5.14	5.46	4.73	0.74	0.41600000000000004	0.9990000000000001	1.0
chr6	114364717	114365042	326	*	2.44	2.74	2.05	0.69	0.418	0.9990000000000001	1.0
chr6	41248530	41252352	3823	*	3.78	4.05	3.43	0.62	0.42	0.9990000000000001	1.0
chr6	151044635	151045082	448	*	3.33	2.95	3.63	-0.68	0.42200000000000004	0.9990000000000001	1.0
chr6	89195197	89196647	1451	*	2.41	2.67	2.11	0.56	0.42200000000000004	0.9990000000000001	1.0
chr6	45823256	45824490	1235	*	2.67	2.96	2.32	0.64	0.423	0.9990000000000001	1.0
chr6	159439892	159441701	1810	*	2.87	3.12	2.55	0.57	0.423	0.9990000000000001	1.0
chr6	163945136	163946529	1394	*	5.2	4.79	5.52	-0.73	0.424	0.9990000000000001	1.0
chr6	125985383	125987630	2248	*	6.49	6.01	6.85	-0.84	0.426	0.9990000000000001	1.0
chr6	16086048	16088459	2412	*	3.35	3.01	3.62	-0.6	0.426	0.9990000000000001	1.0
chr6	136548507	136550701	2195	*	7.15	6.71	7.49	-0.78	0.42700000000000005	0.9990000000000001	1.0
chr6	135053826	135055531	1706	*	7.17	6.7	7.53	-0.83	0.42700000000000005	0.9990000000000001	1.0
chr6	170176814	170177228	415	*	4.05	4.32	3.71	0.61	0.428	0.9990000000000001	1.0
chr6	109236086	109236489	404	*	2.86	3.16	2.46	0.7	0.429	0.9990000000000001	1.0
chr6	42890048	42890376	329	*	2.5	2.79	2.14	0.64	0.43	0.9990000000000001	1.0
chr6	39762040	39762595	556	*	1.33	1.59	1.02	0.57	0.431	0.9990000000000001	1.0
chr6	37819780	37820242	463	*	3.35	3.7	2.9	0.79	0.43200000000000005	0.9990000000000001	1.0
chr6	107809255	107811154	1900	*	2.87	3.14	2.54	0.61	0.434	0.9990000000000001	1.0
chr6	133894005	133896004	2000	*	2.95	2.59	3.24	-0.66	0.436	0.9990000000000001	1.0
chr6	35558423	35562518	4096	*	4.85	5.07	4.58	0.5	0.43799999999999994	0.9990000000000001	1.0
chr6	167405243	167406380	1138	*	3.2	3.47	2.87	0.6	0.43799999999999994	0.9990000000000001	1.0
chr6	158562970	158563917	948	*	5.02	4.61	5.34	-0.73	0.439	0.9990000000000001	1.0
chr6	6325224	6326415	1192	*	2.83	3.09	2.51	0.58	0.44	0.9990000000000001	1.0
chr6	143522671	143523515	845	*	2.05	1.7	2.33	-0.63	0.442	0.9990000000000001	1.0
chr6	10528123	10528842	720	*	4.65	4.3	4.93	-0.63	0.444	0.9990000000000001	1.0
chr6	139086731	139087817	1087	*	2.61	2.87	2.29	0.58	0.445	0.9990000000000001	1.0
chr6	1250620	1250933	314	*	2.3	2.59	1.93	0.66	0.446	0.9990000000000001	1.0
chr6	158770844	158771294	451	*	3.04	3.32	2.7	0.62	0.45	0.9990000000000001	1.0
chr6	157020595	157021611	1017	*	6.65	6.2	7.0	-0.8	0.45299999999999996	0.9990000000000001	1.0
chr6	159433420	159436708	3289	*	3.65	3.93	3.31	0.62	0.45399999999999996	0.9990000000000001	1.0
chr6	75601049	75603574	2526	*	6.42	6.75	6.0	0.74	0.45399999999999996	0.9990000000000001	1.0
chr6	28212391	28213110	720	*	5.09	5.39	4.71	0.68	0.455	0.9990000000000001	1.0
chr6	142947423	142948009	587	*	3.41	3.04	3.7	-0.66	0.456	0.9990000000000001	1.0
chr6	75305838	75306964	1127	*	2.22	1.89	2.48	-0.58	0.457	0.9990000000000001	1.0
chr6	2875716	2876632	917	*	5.57	5.9	5.15	0.75	0.457	0.9990000000000001	1.0
chr6	12215732	12217812	2081	*	3.69	3.4	3.93	-0.53	0.461	0.9990000000000001	1.0
chr6	162727919	162728537	619	*	4.29	3.92	4.59	-0.67	0.461	0.9990000000000001	1.0
chr6	116499890	116502562	2673	*	3.92	4.14	3.66	0.48	0.462	0.9990000000000001	1.0
chr6	1444379	1445808	1430	*	3.61	3.32	3.86	-0.54	0.462	0.9990000000000001	1.0
chr6	109568926	109570262	1337	*	2.57	2.82	2.27	0.54	0.462	0.9990000000000001	1.0
chr6	26327509	26328997	1489	*	3.95	4.21	3.62	0.59	0.462	0.9990000000000001	1.0
chr6	371100	372418	1319	*	4.36	4.64	4.0	0.64	0.46299999999999997	0.9990000000000001	1.0
chr6	5891392	5892967	1576	*	6.19	6.48	5.83	0.65	0.46299999999999997	0.9990000000000001	1.0
chr6	136563660	136564409	750	*	4.39	3.98	4.7	-0.72	0.46299999999999997	0.9990000000000001	1.0
chr6	11803112	11803750	639	*	3.86	3.49	4.15	-0.66	0.465	0.9990000000000001	1.0
chr6	89638379	89639670	1292	*	5.65	5.26	5.96	-0.7	0.466	0.9990000000000001	1.0
chr6	150684927	150685847	921	*	4.25	3.91	4.53	-0.63	0.467	0.9990000000000001	1.0
chr6	138795945	138796304	360	*	3.54	3.17	3.84	-0.67	0.467	0.9990000000000001	1.0
chr6	33910978	33912054	1077	*	2.12	1.82	2.37	-0.55	0.467	0.9990000000000001	1.0
chr6	129709597	129710261	665	*	5.65	5.21	5.98	-0.77	0.46799999999999997	0.9990000000000001	1.0
chr6	39328434	39329326	893	*	2.66	2.92	2.33	0.6	0.46799999999999997	0.9990000000000001	1.0
chr6	149129880	149130377	498	*	2.97	2.63	3.24	-0.61	0.47	0.9990000000000001	1.0
chr6	143537130	143538425	1296	*	6.8	6.41	7.11	-0.7	0.473	0.9990000000000001	1.0
chr6	133850640	133853645	3006	*	2.82	2.51	3.07	-0.56	0.473	0.9990000000000001	1.0
chr6	76876291	76877087	797	*	5.04	5.35	4.66	0.69	0.474	0.9990000000000001	1.0
chr6	158167160	158168853	1694	*	6.72	6.27	7.06	-0.79	0.474	0.9990000000000001	1.0
chr6	145814319	145814856	538	*	5.14	4.74	5.46	-0.72	0.474	0.9990000000000001	1.0
chr6	77462525	77465392	2868	*	4.19	4.42	3.91	0.51	0.475	0.9990000000000001	1.0
chr6	16721812	16722431	620	*	3.69	3.94	3.38	0.56	0.47600000000000003	0.9990000000000001	1.0
chr6	7647033	7649659	2627	*	3.7	3.95	3.39	0.56	0.47700000000000004	0.9990000000000001	1.0
chr6	3751288	3751855	568	*	4.47	4.72	4.16	0.57	0.478	0.9990000000000001	1.0
chr6	7802471	7807685	5215	*	4.49	4.76	4.14	0.62	0.479	0.9990000000000001	1.0
chr6	13993680	13994913	1234	*	2.45	2.7	2.15	0.55	0.48200000000000004	0.9990000000000001	1.0
chr6	156363795	156365900	2106	*	0.85	0.58	1.08	-0.5	0.484	0.9990000000000001	1.0
chr6	48765365	48766349	985	*	4.74	5.05	4.35	0.7	0.486	0.9990000000000001	1.0
chr6	6725426	6726303	878	*	4.36	4.64	4.0	0.64	0.486	0.9990000000000001	1.0
chr6	154508534	154508823	290	*	2.69	2.92	2.41	0.51	0.488	0.9990000000000001	1.0
chr6	153125418	153126450	1033	*	4.7	4.99	4.35	0.64	0.488	0.9990000000000001	1.0
chr6	16131866	16132441	576	*	4.54	4.87	4.11	0.76	0.488	0.9990000000000001	1.0
chr6	47845739	47847643	1905	*	2.81	2.5	3.06	-0.56	0.488	0.9990000000000001	1.0
chr6	70917762	70918430	669	*	1.56	1.78	1.29	0.49	0.489	0.9990000000000001	1.0
chr6	78624125	78626171	2047	*	2.98	3.2	2.71	0.49	0.489	0.9990000000000001	1.0
chr6	150704230	150704700	471	*	2.72	2.42	2.96	-0.54	0.489	0.9990000000000001	1.0
chr6	51121791	51123868	2078	*	3.42	3.67	3.12	0.55	0.489	0.9990000000000001	1.0
chr6	28334959	28335645	687	*	4.42	4.71	4.05	0.66	0.49	0.9990000000000001	1.0
chr6	163415122	163416125	1004	*	5.98	5.53	6.32	-0.79	0.49	0.9990000000000001	1.0
chr6	125789871	125791520	1650	*	6.91	6.51	7.21	-0.7	0.494	0.9990000000000001	1.0
chr6	3628692	3629163	472	*	1.88	2.09	1.63	0.47	0.494	0.9990000000000001	1.0
chr6	41740317	41741528	1212	*	4.5	4.78	4.14	0.64	0.495	0.9990000000000001	1.0
chr6	148765995	148766658	664	*	3.72	3.41	3.97	-0.55	0.496	0.9990000000000001	1.0
chr6	150418179	150419284	1106	*	6.13	5.79	6.41	-0.62	0.496	0.9990000000000001	1.0
chr6	129765081	129768063	2983	*	3.43	3.64	3.17	0.48	0.496	0.9990000000000001	1.0
chr6	137978476	137979407	932	*	4.94	4.63	5.2	-0.57	0.496	0.9990000000000001	1.0
chr6	99235890	99238014	2125	*	2.65	2.35	2.9	-0.56	0.49700000000000005	0.9990000000000001	1.0
chr6	5260096	5260957	862	*	6.34	6.67	5.92	0.75	0.49700000000000005	0.9990000000000001	1.0
chr6	7761951	7765747	3797	*	4.22	3.93	4.46	-0.53	0.498	0.9990000000000001	1.0
chr6	20876102	20876782	681	*	3.49	3.79	3.12	0.68	0.501	0.9990000000000001	1.0
chr6	4523904	4531164	7261	*	5.08	5.33	4.77	0.56	0.502	0.9990000000000001	1.0
chr6	3362655	3365048	2394	*	6.37	6.65	6.02	0.63	0.502	0.9990000000000001	1.0
chr6	6068184	6069223	1040	*	1.67	1.89	1.42	0.47	0.503	0.9990000000000001	1.0
chr6	108847748	108848385	638	*	4.9	5.16	4.57	0.59	0.503	0.9990000000000001	1.0
chr6	3748837	3750875	2039	*	5.77	6.01	5.48	0.53	0.504	0.9990000000000001	1.0
chr6	168317890	168320021	2132	*	5.24	5.47	4.97	0.5	0.504	0.9990000000000001	1.0
chr6	99270158	99270644	487	*	1.69	1.43	1.91	-0.49	0.505	0.9990000000000001	1.0
chr6	7916091	7919135	3045	*	3.58	3.84	3.28	0.56	0.506	0.9990000000000001	1.0
chr6	152983214	152983870	657	*	5.15	4.79	5.44	-0.64	0.507	0.9990000000000001	1.0
chr6	167423632	167424116	485	*	0.63	0.79	0.45	0.33	0.51	0.9990000000000001	1.0
chr6	42096980	42097854	875	*	3.67	3.95	3.31	0.65	0.511	0.9990000000000001	1.0
chr6	166658197	166659045	849	*	2.14	2.37	1.87	0.5	0.512	0.9990000000000001	1.0
chr6	136250782	136251537	756	*	3.56	3.21	3.84	-0.64	0.513	0.9990000000000001	1.0
chr6	3402111	3402533	423	*	2.59	2.84	2.3	0.55	0.516	0.9990000000000001	1.0
chr6	12962133	12964701	2569	*	2.7	2.92	2.45	0.47	0.521	0.9990000000000001	1.0
chr6	6031798	6034065	2268	*	3.67	3.42	3.88	-0.46	0.521	0.9990000000000001	1.0
chr6	107460121	107461001	881	*	4.2	4.45	3.89	0.56	0.522	0.9990000000000001	1.0
chr6	138410687	138411128	442	*	2.22	2.45	1.95	0.5	0.524	0.9990000000000001	1.0
chr6	143535423	143536808	1386	*	5.6	5.88	5.24	0.65	0.524	0.9990000000000001	1.0
chr6	20252827	20253239	413	*	2.94	2.66	3.18	-0.52	0.526	0.9990000000000001	1.0
chr6	83192127	83192485	359	*	2.51	2.77	2.2	0.56	0.526	0.9990000000000001	1.0
chr6	170169434	170171725	2292	*	4.69	4.9	4.46	0.44	0.529	0.9990000000000001	1.0
chr6	64685343	64686041	699	*	3.72	3.96	3.42	0.54	0.529	0.9990000000000001	1.0
chr6	158811639	158812340	702	*	3.33	3.03	3.58	-0.55	0.53	0.9990000000000001	1.0
chr6	75336736	75339005	2270	*	3.01	2.75	3.23	-0.48	0.53	0.9990000000000001	1.0
chr6	28104206	28105428	1223	*	5.96	6.2	5.68	0.53	0.531	0.9990000000000001	1.0
chr6	168991148	168992042	895	*	3.91	3.59	4.17	-0.59	0.532	0.9990000000000001	1.0
chr6	157063841	157064559	719	*	3.99	3.68	4.25	-0.57	0.5329999999999999	0.9990000000000001	1.0
chr6	112298687	112299045	359	*	3.24	3.46	2.98	0.49	0.5329999999999999	0.9990000000000001	1.0
chr6	1597004	1598069	1066	*	2.33	2.5	2.14	0.36	0.534	0.9990000000000001	1.0
chr6	158861134	158862395	1262	*	4.71	4.36	5.0	-0.65	0.534	0.9990000000000001	1.0
chr6	42207142	42207553	412	*	3.41	3.67	3.09	0.58	0.535	0.9990000000000001	1.0
chr6	37739048	37740427	1380	*	3.01	2.77	3.21	-0.43	0.536	0.9990000000000001	1.0
chr6	141969598	141970399	802	*	4.69	4.4	4.93	-0.53	0.536	0.9990000000000001	1.0
chr6	52271313	52272209	897	*	3.53	3.79	3.21	0.58	0.537	0.9990000000000001	1.0
chr6	138086991	138088053	1063	*	4.33	4.01	4.6	-0.58	0.539	0.9990000000000001	1.0
chr6	52918709	52919080	372	*	3.32	3.03	3.56	-0.53	0.539	0.9990000000000001	1.0
chr6	99599001	99600197	1197	*	3.08	3.29	2.84	0.45	0.54	0.9990000000000001	1.0
chr6	18186106	18186553	448	*	3.56	3.23	3.83	-0.6	0.541	0.9990000000000001	1.0
chr6	78815135	78815608	474	*	1.63	1.83	1.39	0.44	0.542	0.9990000000000001	1.0
chr6	99645196	99647548	2353	*	2.88	2.6	3.11	-0.52	0.542	0.9990000000000001	1.0
chr6	39361960	39362473	514	*	4.46	4.72	4.15	0.56	0.5429999999999999	0.9990000000000001	1.0
chr6	6579686	6581282	1597	*	3.43	3.64	3.18	0.46	0.544	0.9990000000000001	1.0
chr6	109536225	109539793	3569	*	3.4	3.12	3.63	-0.51	0.546	0.9990000000000001	1.0
chr6	53616977	53617331	355	*	2.68	2.39	2.93	-0.54	0.547	0.9990000000000001	1.0
chr6	52364386	52365018	633	*	3.74	3.42	4.0	-0.58	0.55	0.9990000000000001	1.0
